Rent_PI,Rent_PI_lag1,Rent_PI_lag2,Rent_PI_lag3,PCPI,PCPI_lag1,PCPI_lag2,UER,UER_lag1,UER_lag2,GDP,GDP_lag1,GDP_lag2,Pop,Pop_lag1,Pop_lag2,NPHU,NPHU_lag1,NPHU_lag2
255.886,254.311,253.922,252.538,48796,48796,48796,10.3,10.3,9.7,242081.9,241152.395,240222.89,610639,610639,610639,675.9893399,822.1264245,1335.555314
254.311,253.922,252.538,251.387,48796,48796,48796,10.2,10.3,10.3,243011.405,242081.9,241152.395,610639,610639,610639,720.9962847,675.9893399,822.1264245
253.922,252.538,251.387,251.703,48796,48796,48796,9.3,10.2,10.3,243940.91,243011.405,242081.9,610639,610639,610639,541.0836794,720.9962847,675.9893399
252.538,251.387,251.703,251.314,48796,48796,48796,9.4,9.3,10.2,244870.415,243940.91,243011.405,610639,610639,610639,735.690409,541.0836794,720.9962847
251.387,251.703,251.314,252.107,48796,48796,48796,9.8,9.4,9.3,245799.92,244870.415,243940.91,610639,610639,610639,697.7909683,735.690409,541.0836794
251.703,251.314,252.107,250.75,48796,48796,48796,9.6,9.8,9.4,246729.425,245799.92,244870.415,610639,610639,610639,1062.299577,697.7909683,735.690409
251.314,252.107,250.75,251.128,48796,48796,48796,9.5,9.6,9.8,247658.93,246729.425,245799.92,610639,610639,610639,745.3438608,1062.299577,697.7909683
252.107,250.75,251.128,252.102,48796,48796,48796,9.4,9.5,9.6,248588.435,247658.93,246729.425,610639,610639,610639,732.134416,745.3438608,1062.299577
250.75,251.128,252.102,252.422,48796,48796,48796,9.3,9.4,9.5,249517.94,248588.435,247658.93,610639,610639,610639,801.1382472,732.134416,745.3438608
251.128,252.102,252.422,252.96,48796,48796,48796,9.6,9.3,9.4,250447.445,249517.94,248588.435,610639,610639,610639,1114.232508,801.1382472,732.134416
252.102,252.422,252.96,253.554,51395,48796,48796,9.1,9.6,9.3,251376.955,250447.445,249517.94,623050,610639,610639,674.3023648,1114.232508,801.1382472
252.422,252.96,253.554,254.707,51395,51395,48796,9.6,9.1,9.6,252901.277,251376.955,250447.445,623050,623050,610639,601.9496723,674.3023648,1114.232508
252.96,253.554,254.707,247.207,51395,51395,51395,9.5,9.6,9.1,254425.599,252901.277,251376.955,623050,623050,623050,631.6595455,601.9496723,674.3023648
253.554,254.707,247.207,248.1,51395,51395,51395,9.2,9.5,9.6,255949.921,254425.599,252901.277,623050,623050,623050,1467.267613,631.6595455,601.9496723
254.707,247.207,248.1,248.348,51395,51395,51395,8.5,9.2,9.5,257474.243,255949.921,254425.599,623050,623050,623050,1287.456552,1467.267613,631.6595455
247.207,248.1,248.348,251.163,51395,51395,51395,8.6,8.5,9.2,258998.565,257474.243,255949.921,623050,623050,623050,726.3495886,1287.456552,1467.267613
248.1,248.348,251.163,252.378,51395,51395,51395,9,8.6,8.5,260522.887,258998.565,257474.243,623050,623050,623050,866.5644814,726.3495886,1287.456552
248.348,251.163,252.378,252.963,51395,51395,51395,8.9,9,8.6,262047.209,260522.887,258998.565,623050,623050,623050,1273.492223,866.5644814,726.3495886
251.163,252.378,252.963,260.876,51395,51395,51395,8.6,8.9,9,263571.531,262047.209,260522.887,623050,623050,623050,696.6505274,1273.492223,866.5644814
252.378,252.963,260.876,261.905,51395,51395,51395,8.4,8.6,8.9,265095.853,263571.531,262047.209,623050,623050,623050,726.9101674,696.6505274,1273.492223
252.963,260.876,261.905,262.564,51395,51395,51395,8.2,8.4,8.6,266620.175,265095.853,263571.531,623050,623050,623050,872.7551144,726.9101674,696.6505274
260.876,261.905,262.564,262.73,51395,51395,51395,8.1,8.2,8.4,268144.497,266620.175,265095.853,623050,623050,623050,1158.13147,872.7551144,726.9101674
261.905,262.564,262.73,262.493,55810,51395,51395,7.8,8.1,8.2,269668.824,268144.497,266620.175,636495,623050,623050,685.4137734,1158.13147,872.7551144
262.564,262.73,262.493,263.374,55810,55810,51395,8.2,7.8,8.1,270884.628,269668.824,268144.497,636495,636495,623050,1174.471402,685.4137734,1158.13147
262.73,262.493,263.374,263.35,55810,55810,55810,8.1,8.2,7.8,272100.432,270884.628,269668.824,636495,636495,636495,1710.277242,1174.471402,685.4137734
262.493,263.374,263.35,264.302,55810,55810,55810,7.8,8.1,8.2,273316.236,272100.432,270884.628,636495,636495,636495,1284.895334,1710.277242,1174.471402
263.374,263.35,264.302,264.724,55810,55810,55810,6.9,7.8,8.1,274532.04,273316.236,272100.432,636495,636495,636495,1367.562864,1284.895334,1710.277242
263.35,264.302,264.724,265.684,55810,55810,55810,7.2,6.9,7.8,275747.844,274532.04,273316.236,636495,636495,636495,1868.604361,1367.562864,1284.895334
264.302,264.724,265.684,266.755,55810,55810,55810,7.5,7.2,6.9,276963.648,275747.844,274532.04,636495,636495,636495,1631.582807,1868.604361,1367.562864
264.724,265.684,266.755,268.22,55810,55810,55810,7.5,7.5,7.2,278179.452,276963.648,275747.844,636495,636495,636495,1490.844465,1631.582807,1868.604361
265.684,266.755,268.22,268.596,55810,55810,55810,7.1,7.5,7.5,279395.256,278179.452,276963.648,636495,636495,636495,1371.338293,1490.844465,1631.582807
266.755,268.22,268.596,270.314,55810,55810,55810,6.6,7.1,7.5,280611.06,279395.256,278179.452,636495,636495,636495,1607.798201,1371.338293,1490.844465
268.22,268.596,270.314,270.662,55810,55810,55810,6.4,6.6,7.1,281826.864,280611.06,279395.256,636495,636495,636495,1187.532235,1607.798201,1371.338293
268.596,270.314,270.662,271.948,55810,55810,55810,6.4,6.4,6.6,283042.668,281826.864,280611.06,636495,636495,636495,1288.595416,1187.532235,1607.798201
270.314,270.662,271.948,271.969,56585,55810,55810,6.2,6.4,6.4,284258.477,283042.668,281826.864,654224,636495,636495,1596.161309,1288.595416,1187.532235
270.662,271.948,271.969,272.55,56585,56585,55810,6.6,6.2,6.4,285723.542,284258.477,283042.668,654224,654224,636495,1703.569598,1596.161309,1288.595416
271.948,271.969,272.55,274.68,56585,56585,56585,6.3,6.6,6.2,287188.607,285723.542,284258.477,654224,654224,654224,1221.639133,1703.569598,1596.161309
271.969,272.55,274.68,275.459,56585,56585,56585,6,6.3,6.6,288653.672,287188.607,285723.542,654224,654224,654224,1136.869388,1221.639133,1703.569598
272.55,274.68,275.459,276.499,56585,56585,56585,5.4,6,6.3,290118.737,288653.672,287188.607,654224,654224,654224,1820.497066,1136.869388,1221.639133
274.68,275.459,276.499,277.73,56585,56585,56585,5.6,5.4,6,291583.802,290118.737,288653.672,654224,654224,654224,1246.937506,1820.497066,1136.869388
275.459,276.499,277.73,280.075,56585,56585,56585,6.1,5.6,5.4,293048.867,291583.802,290118.737,654224,654224,654224,1648.160662,1246.937506,1820.497066
276.499,277.73,280.075,282.106,56585,56585,56585,6,6.1,5.6,294513.932,293048.867,291583.802,654224,654224,654224,1209.397621,1648.160662,1246.937506
277.73,280.075,282.106,282.968,56585,56585,56585,5.9,6,6.1,295978.997,294513.932,293048.867,654224,654224,654224,1687.701855,1209.397621,1648.160662
280.075,282.106,282.968,284.195,56585,56585,56585,5.8,5.9,6,297444.062,295978.997,294513.932,654224,654224,654224,1573.807712,1687.701855,1209.397621
282.106,282.968,284.195,285.673,56585,56585,56585,5.8,5.8,5.9,298909.127,297444.062,295978.997,654224,654224,654224,1755.294968,1573.807712,1687.701855
282.968,284.195,285.673,286.284,56585,56585,56585,5.7,5.8,5.8,300374.192,298909.127,297444.062,654224,654224,654224,1665.505643,1755.294968,1573.807712
284.195,285.673,286.284,287.473,60891,56585,56585,5.4,5.7,5.8,301839.262,300374.192,298909.127,670925,654224,654224,1021.336053,1665.505643,1755.294968
285.673,286.284,287.473,288.986,60891,60891,56585,5.8,5.4,5.7,303549.496,301839.262,300374.192,670925,670925,654224,1723.835612,1021.336053,1665.505643
286.284,287.473,288.986,289.874,60891,60891,60891,5.8,5.8,5.4,305259.73,303549.496,301839.262,670925,670925,670925,1670.602781,1723.835612,1021.336053
287.473,288.986,289.874,290.899,60891,60891,60891,5.6,5.8,5.8,306969.964,305259.73,303549.496,670925,670925,670925,2323.838563,1670.602781,1723.835612
288.986,289.874,290.899,291.354,60891,60891,60891,4.8,5.6,5.8,308680.198,306969.964,305259.73,670925,670925,670925,2017.334834,2323.838563,1670.602781
289.874,290.899,291.354,292.478,60891,60891,60891,5.1,4.8,5.6,310390.432,308680.198,306969.964,670925,670925,670925,1596.666638,2017.334834,2323.838563
290.899,291.354,292.478,294.088,60891,60891,60891,5.3,5.1,4.8,312100.666,310390.432,308680.198,670925,670925,670925,2096.97331,1596.666638,2017.334834
291.354,292.478,294.088,295.688,60891,60891,60891,5.5,5.3,5.1,313810.9,312100.666,310390.432,670925,670925,670925,1567.584518,2096.97331,1596.666638
292.478,294.088,295.688,299.349,60891,60891,60891,5.3,5.5,5.3,315521.134,313810.9,312100.666,670925,670925,670925,2314.311049,1567.584518,2096.97331
294.088,295.688,299.349,301.599,60891,60891,60891,5.2,5.3,5.5,317231.368,315521.134,313810.9,670925,670925,670925,1884.626891,2314.311049,1567.584518
295.688,299.349,301.599,302.513,60891,60891,60891,4.9,5.2,5.3,318941.602,317231.368,315521.134,670925,670925,670925,1685.94713,1884.626891,2314.311049
299.349,301.599,302.513,303.499,63610,60891,60891,5.1,4.9,5.2,320651.836,318941.602,317231.368,670925,670925,670925,1719.987387,1685.94713,1884.626891
301.599,302.513,303.499,305.025,63610,63610,60891,4.7,5.1,4.9,322362.07,320651.836,318941.602,688156,670925,670925,2880.307213,1719.987387,1685.94713
302.513,303.499,305.025,305.083,63610,63610,63610,5.2,4.7,5.1,323648.599,322362.07,320651.836,688156,688156,670925,3412.67532,2880.307213,1719.987387
303.499,305.025,305.083,304.919,63610,63610,63610,5,5.2,4.7,324935.128,323648.599,322362.07,688156,688156,688156,2165.624496,3412.67532,2880.307213
305.025,305.083,304.919,306.838,63610,63610,63610,4.8,5,5.2,326221.657,324935.128,323648.599,688156,688156,688156,1701.941652,2165.624496,3412.67532
305.083,304.919,306.838,308.007,63610,63610,63610,4.3,4.8,5,327508.186,326221.657,324935.128,688156,688156,688156,1947.74295,1701.941652,2165.624496
304.919,306.838,308.007,308.817,63610,63610,63610,4.7,4.3,4.8,328794.715,327508.186,326221.657,688156,688156,688156,1848.394539,1947.74295,1701.941652
306.838,308.007,308.817,310.511,63610,63610,63610,4.8,4.7,4.3,330081.244,328794.715,327508.186,688156,688156,688156,1764.965383,1848.394539,1947.74295
308.007,308.817,310.511,312.657,63610,63610,63610,4.9,4.8,4.7,331367.773,330081.244,328794.715,688156,688156,688156,2594.200147,1764.965383,1848.394539
308.817,310.511,312.657,315.144,63610,63610,63610,4.7,4.9,4.8,332654.302,331367.773,330081.244,688156,688156,688156,1857.138053,2594.200147,1764.965383
310.511,312.657,315.144,316.409,63610,63610,63610,4.7,4.7,4.9,333940.831,332654.302,331367.773,688156,688156,688156,1684.683838,1857.138053,2594.200147
312.657,315.144,316.409,317.693,63610,63610,63610,4.7,4.7,4.7,335227.36,333940.831,332654.302,688156,688156,688156,1926.026997,1684.683838,1857.138053
315.144,316.409,317.693,319.199,63610,63610,63610,4.9,4.7,4.7,336513.889,335227.36,333940.831,688156,688156,688156,1730.593915,1926.026997,1684.683838
316.409,317.693,319.199,321.916,66358,63610,63610,4.6,4.9,4.7,337800.412,336513.889,335227.36,710510,688156,688156,1936.63667,1730.593915,1926.026997
317.693,319.199,321.916,323.46,66358,66358,63610,5,4.6,4.9,339728.727,337800.412,336513.889,710510,710510,688156,1614.047401,1936.63667,1730.593915
319.199,321.916,323.46,323.89,66358,66358,66358,4.8,5,4.6,341657.042,339728.727,337800.412,710510,710510,710510,1839.423702,1614.047401,1936.63667
321.916,323.46,323.89,325.611,66358,66358,66358,4.7,4.8,5,343585.357,341657.042,339728.727,710510,710510,710510,2018.827722,1839.423702,1614.047401
323.46,323.89,325.611,327.301,66358,66358,66358,4.2,4.7,4.8,345513.672,343585.357,341657.042,710510,710510,710510,1892.371599,2018.827722,1839.423702
323.89,325.611,327.301,329.929,66358,66358,66358,4.3,4.2,4.7,347441.987,345513.672,343585.357,710510,710510,710510,2643.010274,1892.371599,2018.827722
325.611,327.301,329.929,332.204,66358,66358,66358,4.5,4.3,4.2,349370.302,347441.987,345513.672,710510,710510,710510,1925.890207,2643.010274,1892.371599
327.301,329.929,332.204,333.947,66358,66358,66358,4.5,4.5,4.3,351298.617,349370.302,347441.987,710510,710510,710510,1349.065175,1925.890207,2643.010274
329.929,332.204,333.947,336.559,66358,66358,66358,4.3,4.5,4.5,353226.932,351298.617,349370.302,710510,710510,710510,2668.014691,1349.065175,1925.890207
332.204,333.947,336.559,337.715,66358,66358,66358,4.4,4.3,4.5,355155.247,353226.932,351298.617,710510,710510,710510,2682.320531,2668.014691,1349.065175
333.947,336.559,337.715,340.166,66358,66358,66358,4.2,4.4,4.3,357083.562,355155.247,353226.932,710510,710510,710510,2055.805047,2682.320531,2668.014691
336.559,337.715,340.166,341.841,66358,66358,66358,4.2,4.2,4.4,359011.877,357083.562,355155.247,710510,710510,710510,2468.819473,2055.805047,2682.320531
337.715,340.166,341.841,342.428,69913,66358,66358,4,4.2,4.2,360940.192,359011.877,357083.562,729601,710510,710510,2214.0758,2468.819473,2055.805047
340.166,341.841,342.428,343.797,69913,69913,66358,4.3,4,4.2,363531.588,360940.192,359011.877,729601,729601,710510,2072.631083,2214.0758,2468.819473
341.841,342.428,343.797,344.915,69913,69913,69913,4.2,4.3,4,366122.984,363531.588,360940.192,729601,729601,729601,1934.089267,2072.631083,2214.0758
342.428,343.797,344.915,347.695,69913,69913,69913,4,4.2,4.3,368714.38,366122.984,363531.588,729601,729601,729601,2153.012922,1934.089267,2072.631083
343.797,344.915,347.695,349.889,69913,69913,69913,3.6,4,4.2,371305.776,368714.38,366122.984,729601,729601,729601,1821.805814,2153.012922,1934.089267
344.915,347.695,349.889,352.595,69913,69913,69913,3.9,3.6,4,373897.172,371305.776,368714.38,729601,729601,729601,2076.329411,1821.805814,2153.012922
347.695,349.889,352.595,354.637,69913,69913,69913,4.2,3.9,3.6,376488.568,373897.172,371305.776,729601,729601,729601,2111.246107,2076.329411,1821.805814
349.889,352.595,354.637,357.257,69913,69913,69913,4.2,4.2,3.9,379079.965,376488.568,373897.172,729601,729601,729601,2657.092176,2111.246107,2076.329411
352.595,354.637,357.257,359.278,69913,69913,69913,4.2,4.2,4.2,381671.361,379079.965,376488.568,729601,729601,729601,1878.626763,2657.092176,2111.246107
354.637,357.257,359.278,363.236,69913,69913,69913,4.1,4.2,4.2,384262.757,381671.361,379079.965,729601,729601,729601,2787.307254,1878.626763,2657.092176
357.257,359.278,363.236,365.801,69913,69913,69913,3.9,4.1,4.2,386854.153,384262.757,381671.361,729601,729601,729601,2703.960421,2787.307254,1878.626763
359.278,363.236,365.801,366.628,69913,69913,69913,4.1,3.9,4.1,389445.549,386854.153,384262.757,729601,729601,729601,2214.544595,2703.960421,2787.307254
363.236,365.801,366.628,368.177,74620,69913,69913,3.9,4.1,3.9,392036.945,389445.549,386854.153,744955,729601,729601,1849.665793,2214.544595,2703.960421
365.801,366.628,368.177,368.755,74620,74620,69913,4.4,3.9,4.1,392036.945,392036.945,389445.549,744955,744955,729601,2096.105344,1849.665793,2214.544595
366.628,368.177,368.755,370.807,74620,74620,74620,4.2,4.4,3.9,392036.945,392036.945,392036.945,744955,744955,744955,2972.781342,2096.105344,1849.665793
368.177,368.755,370.807,372.487,74620,74620,74620,3.9,4.2,4.4,392036.945,392036.945,392036.945,744955,744955,744955,2356.378301,2972.781342,2096.105344
368.755,370.807,372.487,374.72,74620,74620,74620,3.5,3.9,4.2,392036.945,392036.945,392036.945,744955,744955,744955,1625.203116,2356.378301,2972.781342
370.807,372.487,374.72,375.525,74620,74620,74620,3.6,3.5,3.9,392036.945,392036.945,392036.945,744955,744955,744955,2227.761711,1625.203116,2356.378301
372.487,374.72,375.525,377.446,74620,74620,74620,4,3.6,3.5,392036.945,392036.945,392036.945,744955,744955,744955,1212.587892,2227.761711,1625.203116
374.72,375.525,377.446,379.697,74620,74620,74620,3.9,4,3.6,392036.945,392036.945,392036.945,744955,744955,744955,1978.245573,1212.587892,2227.761711
375.525,377.446,379.697,380.244,74620,74620,74620,3.8,3.9,4,392036.945,392036.945,392036.945,744955,744955,744955,1787.253554,1978.245573,1212.587892
377.446,379.697,380.244,382.12,74620,74620,74620,3.7,3.8,3.9,392036.945,392036.945,392036.945,744955,744955,744955,1779.287754,1787.253554,1978.245573
379.697,380.244,382.12,383.156,74620,74620,74620,3.7,3.7,3.8,392036.945,392036.945,392036.945,744955,744955,744955,2394.826006,1779.287754,1787.253554
